,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
8653,2,1.0,1.0,1.0,$696.00,2,1125,3
8654,1,1.0,1.0,1.0,$388.00,1,1125,0
8655,2,1.0,1.0,1.0,$427.00,1,1125,9
8656,2,1.0,1.0,2.0,$453.00,3,20,0
8657,3,1.0,1.0,1.0,$381.00,1,1125,4
8658,5,2.0,1.0,5.0,$479.00,2,30,116
8659,4,2.0,1.0,2.0,$992.00,1,1125,2
8660,2,1.0,1.0,1.0,$512.00,1,1125,2
8661,5,3.0,1.0,4.0,$552.00,4,12,0
8662,2,1.0,1.0,1.0,$499.00,3,30,3
8663,6,4.0,1.5,6.0,"$1,294.00",5,1125,0
8664,3,1.0,1.0,2.0,$598.00,1,21,82
8665,5,2.0,1.0,3.0,$749.00,5,1125,10
8666,4,1.0,1.0,1.0,$552.00,1,1125,2
8667,4,2.0,1.0,4.0,$847.00,2,1124,22
8668,2,1.0,1.0,2.0,$650.00,1,1125,13
8669,4,1.0,1.0,2.0,$952.00,1,1125,0
8670,8,3.0,2.0,2.0,"$1,097.00",1,1125,4
8671,2,1.0,1.0,2.0,"$1,103.00",6,1125,39
8672,2,1.0,1.0,1.0,$998.00,3,15,30
8673,5,1.0,1.0,5.0,$302.00,2,1125,6
8674,4,2.0,1.0,2.0,$998.00,1,1125,4
8675,2,1.0,1.0,1.0,$558.00,5,1125,1
8676,3,1.0,1.0,1.0,$479.00,1,1125,2
8677,3,1.0,1.0,1.0,$749.00,2,1125,10
8678,2,1.0,1.0,2.0,$453.00,2,10,38
8679,2,1.0,1.0,1.0,$335.00,1,1125,1
8680,2,1.0,1.0,1.0,$690.00,3,1125,37
8681,4,2.0,1.0,3.0,$703.00,4,1125,2
8682,5,2.0,1.0,5.0,$920.00,5,1125,9
8683,3,3.0,1.0,3.0,$841.00,1,1125,0
8684,2,1.0,1.0,1.0,$236.00,1,1125,103
8685,2,1.0,1.0,1.0,$263.00,4,1125,6
8686,2,1.0,1.0,1.0,$453.00,4,1125,10
8687,2,1.0,1.0,1.0,$801.00,3,1125,2
8688,3,2.0,1.0,3.0,$749.00,1,1125,2
8689,2,1.0,1.0,1.0,$250.00,2,1125,5
8690,4,2.0,1.0,2.0,$598.00,7,27,5
8691,4,2.0,1.0,4.0,$847.00,2,1125,24
8692,2,1.0,1.0,1.0,$952.00,30,1125,18
8693,2,1.0,1.0,1.0,$499.00,30,56,2
8694,10,5.0,3.0,8.0,"$1,603.00",3,1125,2
8695,2,1.0,1.0,1.0,$453.00,1,5,0
8696,2,1.0,1.0,1.0,"$1,497.00",2,1125,16
8697,5,3.0,1.0,5.0,"$1,195.00",6,30,0
8698,4,1.0,1.0,2.0,$696.00,7,1125,10
8699,4,1.0,1.0,3.0,$749.00,2,1125,5
8700,2,1.0,1.0,1.0,$690.00,2,1125,16
8701,4,2.0,1.0,3.0,$749.00,2,1125,0
8702,1,1.0,1.0,1.0,$276.00,2,28,9
8703,2,1.0,1.0,1.0,$650.00,1,60,23
8704,4,3.0,1.0,4.0,$828.00,3,1125,0
8705,2,1.0,1.0,1.0,$361.00,1,1125,3
8706,5,3.0,1.0,4.0,$952.00,5,1125,12
8707,4,2.0,1.0,5.0,$703.00,7,15,6
8708,4,2.0,1.0,2.0,$683.00,3,1125,19
8709,4,2.0,1.0,2.0,$552.00,1,10,20
8710,4,2.0,1.0,2.0,"$1,268.00",3,1125,2
8711,4,1.0,1.0,1.0,$749.00,4,1125,24
8712,4,1.0,1.0,2.0,$729.00,3,1125,7
8713,6,4.0,1.5,6.0,$801.00,5,1125,1
8714,5,2.0,1.0,3.0,$749.00,2,1125,2
8715,4,2.0,1.5,2.0,"$1,097.00",2,8,25
8716,5,3.0,1.0,5.0,$900.00,2,7,6
8717,4,3.0,1.0,4.0,$972.00,1,1125,2
8718,6,3.0,1.0,3.0,$696.00,3,1125,2
8719,4,2.0,1.0,4.0,$650.00,3,1125,5
8720,4,2.0,2.0,2.0,$801.00,2,20,3
8721,4,3.0,1.0,3.0,$801.00,4,10,27
8722,5,2.0,1.5,2.0,$427.00,1,10,2
8723,2,1.0,1.0,1.0,$801.00,2,1125,3
8724,2,1.0,1.0,1.0,$900.00,7,1125,10
8725,2,1.0,0.5,1.0,$598.00,2,1125,8
8726,2,1.0,1.0,1.0,$847.00,4,1125,7
8727,4,0.0,1.0,2.0,$703.00,4,1125,2
8728,6,3.0,1.5,6.0,"$1,202.00",1,1125,3
8729,4,1.0,1.0,2.0,$683.00,30,1125,65
8730,3,2.0,1.0,2.0,$992.00,2,7,8
8731,2,1.0,1.0,1.0,$499.00,5,95,18
8732,4,1.0,2.0,3.0,$749.00,4,1125,1
8733,2,2.0,1.0,1.0,$591.00,3,1125,15
8734,3,1.0,0.5,1.0,$499.00,1,1125,8
8735,2,1.0,1.0,2.0,$703.00,2,14,5
8736,4,2.0,1.0,2.0,$998.00,5,1125,2
8737,2,1.0,1.0,1.0,"$1,097.00",2,1125,7
8738,7,3.0,1.5,4.0,$998.00,2,1125,28
8739,2,1.0,1.0,1.0,$493.00,1,1125,123
8740,2,1.0,1.0,2.0,$657.00,3,31,8
8741,2,1.0,1.0,1.0,$847.00,4,1125,6
8742,6,2.0,1.0,6.0,$906.00,2,13,1
8743,2,1.0,1.0,4.0,$394.00,30,180,44
8744,6,3.0,1.0,5.0,$900.00,1,1125,0
8745,2,1.0,1.0,1.0,$552.00,3,10,8
8746,2,1.0,1.0,1.0,$716.00,10,1125,11
8747,4,1.0,1.0,2.0,$801.00,6,1125,18
8748,6,3.0,1.0,6.0,$998.00,7,14,0
8749,2,1.0,1.0,1.0,$578.00,1,7,21
8750,4,2.0,1.0,2.0,$788.00,2,1125,2
8751,5,2.0,1.0,3.0,$650.00,6,12,7
8752,2,1.0,1.0,1.0,$499.00,2,1125,13
8753,5,2.0,1.0,2.0,$624.00,3,7,0
8754,3,1.0,1.0,1.0,$552.00,5,1125,0
8755,4,2.0,1.0,2.0,$598.00,3,1125,2
8756,5,2.0,1.0,3.0,"$1,202.00",3,1125,7
8757,2,1.0,1.0,2.0,$401.00,3,1125,48
8758,4,1.0,1.0,1.0,$801.00,1,1125,11
