,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
0,2,1.0,1.0,1.0,$361.00,2,15,167
1,6,4.0,1.5,4.0,"$2,397.00",3,30,46
2,12,6.0,2.5,8.0,"$3,100.00",3,31,259
3,2,1.0,1.0,1.0,$801.00,7,14,20
4,4,3.0,1.0,3.0,$860.00,7,31,90
5,3,1.0,1.0,3.0,$749.00,2,10,17
6,4,2.0,2.0,3.0,"$1,084.00",3,365,72
7,4,2.0,1.0,2.0,$591.00,6,1125,7
8,2,1.0,1.0,1.0,$749.00,30,90,15
9,3,2.0,1.0,2.0,$650.00,3,21,13
10,2,1.0,1.0,1.0,$348.00,1,30,171
11,4,2.0,1.0,4.0,$703.00,3,730,8
12,2,1.0,1.0,1.0,$558.00,7,14,72
13,2,1.0,1.0,1.0,$887.00,3,15,65
14,2,1.0,1.0,1.0,$453.00,2,1125,79
15,2,1.0,1.0,1.0,$637.00,2,8,13
16,4,2.0,1.0,3.0,$801.00,5,30,4
17,2,1.0,1.5,1.0,"$1,300.00",2,22,7
18,2,1.0,1.0,1.0,$650.00,3,21,44
19,3,1.0,1.0,2.0,"$1,084.00",5,60,90
20,6,3.0,2.0,2.0,$952.00,2,30,30
21,7,3.0,2.0,3.0,"$1,333.00",5,730,10
22,2,2.0,1.0,2.0,$401.00,7,300,73
23,2,1.0,1.0,1.0,$401.00,7,60,67
24,5,4.0,1.0,5.0,"$1,346.00",6,40,27
25,2,1.0,1.0,1.0,$433.00,3,365,53
26,8,4.0,2.0,8.0,"$1,839.00",2,1125,34
27,4,2.0,1.0,2.0,"$1,950.00",4,1125,22
28,6,2.0,1.0,6.0,"$1,346.00",3,21,13
29,6,2.0,1.0,4.0,$821.00,3,31,38
30,6,4.0,1.0,2.0,$657.00,2,7,2
31,2,1.0,1.0,1.0,$749.00,3,365,6
32,7,4.0,1.0,1.0,"$1,970.00",2,30,40
33,2,1.0,1.0,1.0,$453.00,2,10,30
34,2,1.0,1.0,1.0,$499.00,2,730,89
35,6,3.0,1.0,4.0,"$1,701.00",2,30,74
36,3,1.0,1.0,1.0,$998.00,30,360,183
37,2,1.0,1.0,2.0,$401.00,4,20,15
38,4,1.0,1.0,2.0,$499.00,2,730,49
39,2,1.0,1.0,1.0,$591.00,3,30,5
40,2,2.0,1.0,4.0,$322.00,3,31,46
41,4,1.0,1.0,4.0,$854.00,3,1120,32
42,3,2.0,1.0,2.0,$998.00,3,28,33
43,4,2.0,1.0,3.0,$952.00,4,365,16
44,2,1.0,1.0,1.0,$558.00,5,90,92
45,2,1.0,1.0,1.0,$598.00,3,30,10
47,2,1.0,1.0,1.0,$709.00,5,730,44
48,2,1.0,2.0,2.0,$453.00,7,14,1
49,4,3.0,1.0,3.0,"$1,090.00",4,60,57
50,2,1.0,1.0,2.0,$703.00,1,29,300
51,2,1.0,1.0,1.0,"$1,195.00",5,21,88
52,4,3.0,1.0,3.0,"$1,143.00",3,30,112
53,6,3.0,1.0,3.0,"$1,497.00",4,16,10
54,4,2.0,1.0,2.0,$801.00,3,21,23
55,6,2.0,1.0,3.0,"$1,202.00",6,21,30
56,2,1.0,1.0,2.0,"$1,747.00",4,21,20
57,1,1.0,1.0,1.0,$453.00,1,14,149
58,3,1.0,1.0,2.0,$998.00,2,365,30
59,4,2.0,1.0,2.0,"$1,970.00",3,21,118
60,2,1.0,1.0,1.0,"$1,248.00",5,90,68
61,7,3.0,1.0,5.0,"$1,497.00",1,14,51
62,6,2.0,1.0,6.0,$972.00,7,31,2
63,2,3.0,1.0,1.0,$768.00,3,730,16
64,4,1.0,1.0,2.0,$591.00,3,30,46
65,2,2.0,1.0,2.0,$716.00,2,21,17
66,4,1.0,1.0,1.0,$952.00,3,31,92
67,2,1.0,1.0,1.0,$860.00,3,14,88
68,4,1.0,1.0,2.0,$650.00,2,30,4
69,2,1.0,1.0,1.0,$361.00,1,31,146
70,4,3.0,1.0,4.0,"$1,156.00",2,7,4
71,5,3.0,1.0,3.0,$795.00,5,28,18
72,2,1.0,1.0,2.0,$650.00,3,180,17
73,4,2.0,2.0,2.0,$749.00,5,14,7
74,1,1.0,1.0,1.0,$250.00,1,1124,250
75,5,3.0,1.0,3.0,$932.00,2,7,107
76,6,2.0,1.0,4.0,"$1,123.00",3,21,64
77,9,4.0,1.5,6.0,"$1,484.00",4,90,25
79,3,2.0,1.0,2.0,"$1,451.00",2,60,8
80,2,1.0,1.0,2.0,"$2,187.00",2,1125,4
81,6,4.0,1.0,4.0,"$1,248.00",6,365,0
82,4,1.0,1.0,2.0,"$1,451.00",1,365,15
83,2,0.0,1.0,1.0,$427.00,4,7,4
84,2,1.0,1.0,1.0,$821.00,5,1125,13
85,2,1.0,0.5,1.0,$499.00,4,30,32
86,2,1.0,1.0,1.0,$558.00,2,30,57
87,3,1.0,1.0,2.0,"$1,497.00",3,20,26
88,4,1.0,1.0,2.0,$749.00,4,30,2
89,4,1.0,1.0,4.0,$611.00,5,30,5
90,4,2.0,1.0,2.0,$499.00,4,30,45
91,5,2.0,1.0,5.0,$847.00,4,30,32
92,2,1.0,1.0,1.0,$650.00,3,14,11
93,3,1.0,1.0,1.0,$703.00,5,10,45
94,8,3.0,1.0,8.0,"$1,281.00",2,30,45
95,3,1.0,1.5,0.0,"$3,402.00",2,14,23
96,5,3.0,1.0,3.0,$762.00,5,1125,56
97,4,2.0,1.0,2.0,$663.00,14,1125,12
98,6,3.0,2.5,3.0,$525.00,6,1125,0
99,1,1.0,1.0,1.0,$381.00,3,7,56
100,3,2.0,1.0,2.0,$703.00,1,1125,362
101,2,1.0,0.5,2.0,$657.00,2,180,36
102,6,3.0,1.0,6.0,$847.00,5,1125,9
103,2,1.0,1.0,1.0,$453.00,2,4,10
104,2,1.0,1.0,1.0,$821.00,14,150,16
105,1,1.0,1.0,1.0,$361.00,1,6,572
106,4,3.0,1.0,3.0,"$1,156.00",3,1125,18
107,2,1.0,1.0,1.0,$998.00,3,30,106
108,5,2.0,1.0,3.0,$801.00,5,60,10
109,3,1.0,1.0,2.0,$499.00,2,1125,61
110,1,1.0,1.0,1.0,$401.00,1,5,329
111,3,2.0,1.5,2.0,"$1,451.00",5,60,43
112,2,1.0,1.0,2.0,$387.00,3,7,100
113,2,1.0,1.0,1.0,$453.00,1,1125,9
114,2,1.0,1.0,1.0,$276.00,1,31,132
115,3,1.0,1.0,1.0,$854.00,10,800,5
116,2,1.0,1.0,2.0,$952.00,2,3,180
117,4,3.0,1.0,3.0,"$1,720.00",3,7,22
118,3,0.0,1.0,2.0,$479.00,3,21,212
119,4,2.0,1.0,2.0,$998.00,2,40,3
120,4,2.0,1.0,3.0,"$1,497.00",4,360,28
121,4,2.0,1.0,2.0,$992.00,4,365,30
122,3,1.0,1.0,1.0,$591.00,1,1125,9
123,4,1.0,1.0,2.0,"$1,103.00",2,120,60
124,4,1.0,1.0,2.0,$749.00,4,14,17
125,4,2.0,1.0,5.0,$998.00,4,1125,56
126,6,3.0,1.0,6.0,"$3,001.00",4,1125,4
127,2,1.0,1.0,1.0,$650.00,3,14,47
128,3,1.0,1.0,1.0,$519.00,2,14,69
129,3,1.0,1.0,2.0,$256.00,3,25,6
130,3,2.0,1.0,2.0,$401.00,6,1125,31
131,4,1.0,1.0,2.0,$696.00,4,14,27
132,5,2.0,1.0,3.0,"$1,399.00",2,1125,10
133,2,1.0,1.0,1.0,$690.00,4,30,250
134,2,1.0,1.0,1.0,$598.00,3,12,12
135,2,1.0,1.0,1.0,$650.00,1,7,76
136,6,3.0,1.5,4.0,$946.00,6,21,10
137,4,2.0,2.0,2.0,"$1,175.00",3,30,2
138,3,1.0,1.0,2.0,$716.00,5,35,8
139,2,1.0,1.0,1.0,$552.00,1,7,1
140,6,3.0,1.0,6.0,"$1,051.00",1,21,49
141,2,1.0,1.0,1.0,$250.00,2,10,12
142,11,5.0,2.0,11.0,"$1,491.00",2,730,66
143,4,2.0,1.0,2.0,$624.00,2,1125,65
144,4,2.0,1.0,4.0,"$3,500.00",3,120,1
145,2,1.0,1.0,2.0,$598.00,5,30,8
146,3,2.0,1.0,1.0,$552.00,1,1125,0
147,3,2.0,1.0,2.0,$998.00,3,30,23
148,2,1.0,1.0,1.0,$552.00,4,14,36
149,2,1.0,1.0,1.0,"$1,799.00",7,1125,0
150,4,2.0,1.0,2.0,$624.00,3,30,73
151,7,3.0,2.0,4.0,"$1,418.00",3,21,8
152,2,1.0,1.0,1.0,$703.00,4,90,40
153,5,3.0,1.0,3.0,$801.00,5,42,19
154,2,1.0,1.0,1.0,"$1,497.00",1,1125,23
155,2,1.0,1.0,1.0,$598.00,2,1125,40
156,2,1.0,0.0,1.0,$716.00,9,16,0
157,4,2.0,1.0,2.0,$847.00,6,1124,23
158,4,2.0,1.0,1.0,$814.00,3,21,41
159,5,3.0,1.0,3.0,"$1,202.00",3,1125,9
160,2,1.0,1.0,1.0,$453.00,4,1125,46
161,3,1.0,1.0,2.0,$493.00,2,10,181
162,4,1.0,1.0,1.0,"$1,497.00",4,28,83
163,2,2.0,1.0,2.0,$742.00,3,14,16
164,6,3.0,1.0,3.0,"$2,003.00",10,30,0
165,2,1.0,1.0,1.0,$552.00,4,8,12
166,4,2.0,1.0,3.0,"$1,070.00",2,40,9
167,4,2.0,2.0,2.0,$650.00,3,1125,19
168,4,1.0,1.0,4.0,$788.00,2,90,61
169,6,3.0,1.0,6.0,"$1,451.00",3,1125,18
170,5,3.0,1.0,3.0,$847.00,2,20,29
171,4,2.0,1.0,2.0,"$1,497.00",2,30,28
172,10,5.0,1.0,7.0,"$1,714.00",2,1125,401
173,3,2.0,1.0,1.0,$847.00,4,1125,11
174,2,1.0,1.0,1.0,$913.00,3,330,26
175,7,3.0,1.0,4.0,"$2,233.00",2,1125,49
176,6,2.0,1.0,5.0,$847.00,7,50,18
177,6,2.0,2.0,3.0,"$2,397.00",5,10,15
178,3,1.0,1.0,1.0,$624.00,3,15,7
179,4,1.0,1.0,2.0,$598.00,3,1125,15
180,2,1.0,1.0,1.0,$401.00,3,1125,215
181,6,3.0,1.0,6.0,"$1,497.00",2,1125,15
182,6,2.0,1.0,3.0,"$1,399.00",20,60,26
183,6,3.0,2.0,3.0,"$1,707.00",3,30,9
184,4,2.0,1.0,4.0,$808.00,3,21,11
185,6,4.0,1.5,5.0,"$1,300.00",90,360,1
186,6,2.0,1.0,2.0,$952.00,3,30,38
187,2,1.0,1.0,1.0,$558.00,4,1124,111
188,6,3.0,1.0,6.0,$978.00,4,14,1
189,4,1.0,1.0,1.0,$788.00,2,30,72
190,4,1.0,1.0,1.0,"$1,300.00",1,1125,34
191,4,1.0,1.0,4.0,$860.00,5,14,15
192,3,1.0,1.0,2.0,$650.00,3,1125,47
193,4,2.0,1.0,2.0,$381.00,28,1125,1
194,4,2.0,1.0,2.0,"$1,051.00",3,21,44
195,5,3.0,1.0,5.0,$821.00,2,21,46
196,3,1.0,1.0,2.0,$801.00,1,1125,4
197,2,1.0,1.0,1.0,$650.00,1,1125,58
198,6,3.0,2.0,4.0,$998.00,4,1125,25
199,3,2.0,1.0,3.0,$473.00,4,31,14
200,2,1.0,1.0,1.0,$749.00,4,1125,29
201,6,3.0,1.0,6.0,"$1,399.00",2,2000,12
202,5,2.0,1.0,3.0,$972.00,5,1125,31
203,5,3.0,1.0,3.0,$985.00,4,14,0
204,2,1.0,1.0,1.0,$552.00,4,1125,4
205,5,2.0,1.0,2.0,"$1,195.00",4,30,26
206,2,1.0,1.0,1.0,$821.00,4,30,124
207,3,2.0,1.0,3.0,$788.00,3,14,11
208,4,1.0,1.0,2.0,$998.00,3,1125,5
209,10,4.0,3.0,0.0,"$2,594.00",6,90,26
210,3,2.0,1.0,3.0,$749.00,3,27,11
211,5,2.0,1.0,5.0,"$1,300.00",2,20,103
212,6,3.0,2.0,4.0,$749.00,3,21,51
213,2,1.0,1.0,1.0,$998.00,5,30,7
214,2,1.0,0.5,1.0,$749.00,3,14,281
215,4,2.0,2.0,2.0,$998.00,3,14,7
216,2,1.0,1.5,1.0,$420.00,2,21,0
217,5,2.0,0.5,2.0,$558.00,3,5,0
218,5,3.0,1.0,5.0,$821.00,7,365,13
219,3,1.0,1.0,2.0,"$1,123.00",1,1125,31
220,6,2.0,2.0,3.0,"$1,175.00",4,21,1
221,4,1.0,1.0,3.0,$552.00,7,30,11
222,2,1.0,1.0,1.0,"$1,103.00",2,1125,3
223,3,2.0,1.0,3.0,"$1,051.00",6,20,48
224,2,1.0,1.0,1.0,$499.00,5,10,1
225,4,1.0,1.0,1.0,$703.00,1,14,24
226,1,1.0,1.0,1.0,$289.00,2,1125,12
227,4,2.0,1.5,2.0,$998.00,4,1125,23
228,6,2.0,1.0,6.0,$709.00,2,1125,96
229,2,1.0,1.0,1.0,$440.00,3,20,88
230,4,2.0,1.0,5.0,$598.00,2,7,20
231,6,2.0,1.0,6.0,$998.00,4,14,21
232,2,1.0,1.0,1.0,$847.00,4,1125,2
233,4,2.0,1.0,2.0,$841.00,4,14,0
234,4,2.0,1.0,4.0,$867.00,5,14,0
235,2,1.0,1.0,2.0,$519.00,5,1125,107
236,4,2.0,1.0,3.0,$749.00,2,7,20
237,3,2.0,1.0,3.0,$893.00,4,14,15
238,6,4.0,1.0,10.0,"$1,353.00",4,30,92
239,2,1.0,1.0,1.0,$394.00,3,9,218
240,2,1.0,1.0,1.0,$801.00,3,1125,12
241,3,2.0,1.0,3.0,$650.00,4,14,27
242,5,2.0,1.0,5.0,$703.00,4,23,20
243,3,1.0,1.0,2.0,"$1,970.00",2,1125,103
244,2,1.0,1.5,1.0,$598.00,3,90,12
245,2,1.0,1.0,1.0,$801.00,4,1125,46
246,6,4.0,1.0,6.0,"$1,602.00",4,30,4
247,7,4.0,2.0,4.0,$768.00,5,14,0
248,3,2.0,1.0,4.0,$749.00,5,47,7
249,3,2.0,1.0,3.0,$768.00,6,30,21
250,2,1.0,1.0,1.0,$578.00,4,14,33
251,2,1.0,1.0,1.0,$650.00,3,12,4
252,6,3.0,1.0,4.0,$860.00,5,30,14
253,6,3.0,1.0,6.0,"$2,797.00",4,1125,13
254,3,1.0,1.0,2.0,"$1,248.00",2,1125,26
255,4,3.0,1.0,3.0,$703.00,1,14,18
256,4,2.0,1.0,2.0,$998.00,5,20,6
257,2,1.0,1.0,1.0,$847.00,1,1125,0
258,2,1.0,1.0,1.0,$591.00,2,100,27
259,6,3.0,1.0,4.0,$998.00,5,1125,0
260,3,1.0,1.0,2.0,$512.00,1,30,33
261,2,1.0,1.0,1.0,$440.00,2,1125,0
262,2,1.0,1.0,2.0,$598.00,5,1125,10
263,1,1.0,1.0,1.0,$499.00,14,365,40
264,4,1.0,1.5,3.0,$447.00,1,90,368
265,4,1.0,1.0,1.0,$571.00,3,21,10
266,3,2.0,1.0,2.0,"$1,858.00",1,1125,25
267,4,1.0,1.0,4.0,"$1,149.00",4,60,31
268,3,1.0,1.0,2.0,"$1,346.00",3,180,15
269,4,2.0,1.0,4.0,"$1,202.00",4,365,39
270,1,1.0,1.0,1.0,$223.00,3,30,20
271,2,1.0,1.0,1.0,"$1,005.00",5,30,13
273,3,2.0,1.0,2.0,$952.00,4,30,4
274,5,2.0,1.0,4.0,$847.00,4,21,15
275,4,2.0,1.0,3.0,"$1,202.00",5,13,1
276,4,2.0,2.0,1.0,"$2,614.00",1,1125,7
277,2,1.0,1.0,1.0,$709.00,2,14,91
278,4,2.0,1.0,2.0,$499.00,2,1125,3
279,4,2.0,1.0,2.0,$729.00,2,20,4
280,2,1.0,0.5,2.0,$558.00,1,8,21
281,5,2.0,1.5,3.0,$847.00,5,20,22
282,5,1.0,1.0,3.0,$965.00,7,1125,64
283,4,1.0,1.0,2.0,$401.00,3,60,5
284,2,1.0,1.0,1.0,$348.00,1,21,67
285,4,2.0,1.0,2.0,"$1,103.00",2,30,32
286,4,1.0,1.0,1.0,$709.00,3,300,40
287,1,1.0,1.0,1.0,$328.00,4,30,58
288,6,3.0,1.0,4.0,$801.00,5,14,3
289,4,2.0,1.0,3.0,$749.00,2,30,79
290,5,3.0,1.0,5.0,"$1,202.00",4,30,6
291,2,1.0,1.0,1.0,$703.00,1,1125,2
292,6,3.0,1.0,3.0,$998.00,6,1125,13
294,3,2.0,1.0,3.0,$900.00,4,120,103
295,3,1.0,1.0,1.0,"$1,799.00",4,80,9
296,6,2.0,1.0,2.0,$749.00,3,21,25
297,3,2.0,1.0,2.0,$749.00,3,14,50
298,3,1.0,1.0,1.0,$499.00,7,45,9
299,1,0.0,1.0,1.0,$387.00,3,720,78
300,3,1.0,1.0,1.0,$768.00,2,14,5
301,4,3.0,1.0,3.0,"$1,353.00",4,20,13
302,2,1.0,1.0,1.0,$690.00,3,35,236
303,3,1.0,1.0,1.0,$801.00,30,1125,4
304,3,2.0,1.0,2.0,$703.00,1,1125,2
305,2,1.0,1.0,1.0,$578.00,2,30,17
306,2,0.0,1.0,1.0,$650.00,3,1123,45
307,5,2.0,1.0,5.0,$801.00,6,30,48
308,2,1.0,1.0,1.0,$381.00,4,60,16
309,2,1.0,1.0,1.0,$433.00,3,1125,35
310,4,2.0,1.0,2.0,"$1,182.00",5,25,50
311,4,2.0,1.0,3.0,"$1,005.00",2,21,13
312,4,2.0,1.0,4.0,$998.00,7,30,15
313,3,1.0,1.0,1.0,$650.00,2,70,56
314,2,1.0,1.0,1.0,"$1,392.00",3,18,1
315,10,4.0,2.0,10.0,$998.00,4,1125,8
316,2,1.0,1.0,1.0,$749.00,3,360,116
317,4,1.0,1.0,2.0,"$1,097.00",5,7,0
318,4,2.0,1.0,1.0,$998.00,3,1125,5
319,6,2.0,1.0,3.0,"$1,235.00",3,21,56
320,3,1.0,1.0,2.0,$900.00,7,60,16
321,4,1.0,1.0,2.0,$473.00,1,1125,39
322,5,3.0,1.0,5.0,$998.00,7,29,1
323,4,2.0,1.0,2.0,"$1,038.00",7,21,19
324,5,2.0,1.0,2.0,$946.00,3,1125,9
325,5,2.0,1.0,4.0,$801.00,2,7,9
326,2,1.0,1.0,2.0,$368.00,3,30,89
327,2,1.0,1.0,2.0,$749.00,6,20,11
328,2,1.0,1.5,2.0,$683.00,3,14,104
329,4,2.0,1.0,2.0,"$1,182.00",2,10,25
330,6,3.0,1.0,6.0,"$1,550.00",4,60,22
331,4,1.0,1.0,1.0,$552.00,1,1125,33
332,2,1.0,1.0,1.0,$703.00,4,1125,9
333,3,1.0,1.0,2.0,$801.00,3,1125,11
334,3,1.0,1.0,1.0,$998.00,3,60,2
335,2,1.0,1.0,1.0,$847.00,2,5,39
336,2,1.0,1.0,1.0,$499.00,5,1124,34
337,4,2.0,1.0,4.0,"$1,281.00",2,31,6
338,3,2.0,1.0,2.0,"$1,103.00",5,40,21
339,3,1.0,1.0,1.0,$453.00,1,30,70
340,2,1.0,1.0,1.0,$755.00,3,30,46
341,4,1.0,1.0,6.0,$749.00,4,25,0
342,5,2.0,1.0,3.0,$900.00,3,15,3
343,4,2.0,2.0,2.0,"$1,596.00",2,30,66
344,2,1.0,1.0,2.0,$401.00,30,99,8
345,2,1.0,1.0,1.0,$394.00,3,5,107
346,5,2.0,1.0,4.0,"$1,202.00",3,7,33
347,2,1.0,1.0,1.0,$499.00,2,26,7
348,2,1.0,1.0,1.0,$952.00,2,21,89
349,3,1.0,1.0,1.0,$420.00,4,1125,20
350,6,2.0,1.5,6.0,$998.00,4,21,9
351,3,2.0,1.0,2.0,$900.00,15,90,12
352,4,2.0,1.0,1.0,$401.00,7,365,0
353,2,1.0,1.0,1.0,$749.00,3,90,69
354,2,1.0,2.0,1.0,$381.00,1,1125,1
355,3,1.0,1.5,1.0,$486.00,1,90,406
356,4,2.0,1.5,2.0,$427.00,1,80,509
357,3,1.0,1.5,2.0,$427.00,1,90,498
358,5,3.0,1.0,5.0,"$1,103.00",4,25,15
359,2,2.0,1.0,2.0,$749.00,2,1125,96
360,5,3.0,1.0,5.0,"$1,103.00",3,1125,35
361,2,1.0,0.5,2.0,$309.00,6,30,3
362,6,3.0,1.0,3.0,"$1,005.00",4,21,2
363,4,1.0,1.0,1.0,$650.00,5,21,0
364,8,6.0,2.0,4.0,"$1,248.00",7,30,5
365,2,1.0,1.0,1.0,"$1,294.00",1,30,4
366,3,2.0,1.0,2.0,$801.00,4,22,15
367,2,1.0,1.0,1.0,$801.00,5,30,87
368,1,1.0,1.0,1.0,$276.00,1,31,121
369,2,1.0,1.0,1.0,$650.00,4,365,81
370,3,2.0,1.0,2.0,$978.00,2,7,47
371,4,2.0,1.0,4.0,$703.00,6,1125,56
372,4,3.0,1.0,3.0,$847.00,6,14,36
373,1,1.0,1.0,1.0,$302.00,2,1125,30
374,1,1.0,1.0,1.0,$401.00,3,40,22
375,6,3.0,1.5,3.0,$900.00,2,150,26
376,3,1.0,1.0,1.0,"$1,103.00",1,1125,16
377,5,2.0,1.0,5.0,$998.00,3,1125,59
378,2,1.0,1.5,2.0,$506.00,1,21,208
379,2,1.0,1.0,1.0,$499.00,1,1125,276
380,4,2.0,2.0,3.0,$952.00,2,14,8
381,5,3.0,1.5,5.0,"$1,149.00",7,28,4
382,6,3.0,2.0,3.0,$998.00,5,30,19
383,4,2.0,1.0,2.0,$834.00,2,1125,86
384,2,2.0,1.0,2.0,$499.00,1,6,46
385,6,2.0,1.0,3.0,"$1,156.00",3,30,136
386,6,3.0,1.0,6.0,$749.00,4,1125,10
387,4,2.0,1.0,3.0,"$1,195.00",3,365,32
388,2,1.0,1.0,1.0,$709.00,3,10,72
389,3,2.0,1.0,2.0,$598.00,5,21,2
390,5,3.0,1.0,5.0,$952.00,3,40,2
391,2,1.0,1.0,1.0,$834.00,2,14,98
392,4,1.0,1.0,2.0,$650.00,2,1125,29
393,3,1.0,2.0,3.0,$512.00,4,36,121
394,4,1.0,1.5,2.0,$952.00,2,1125,29
395,4,1.0,2.0,2.0,"$1,103.00",1,180,1
396,4,1.0,1.0,2.0,"$1,123.00",3,14,8
397,5,3.0,1.0,5.0,$703.00,1,1125,136
398,4,2.0,1.0,2.0,$900.00,3,1125,6
399,2,1.0,1.0,3.0,$499.00,1,60,151
400,2,1.0,1.0,2.0,$558.00,2,30,153
401,4,1.0,1.0,1.0,"$1,195.00",3,45,11
402,3,1.0,1.0,2.0,$552.00,1,1125,0
403,2,1.0,1.0,1.0,$900.00,6,1125,7
404,3,3.0,1.0,2.0,"$1,149.00",7,14,1
405,6,4.0,1.5,5.0,"$1,438.00",3,14,24
406,3,2.0,1.0,2.0,$952.00,2,20,7
407,2,1.0,1.0,1.0,$493.00,4,8,162
408,4,1.0,1.0,2.0,$401.00,90,365,29
409,6,3.0,1.0,3.0,$854.00,4,1124,9
410,6,3.0,2.0,6.0,"$1,405.00",1,1125,6
411,2,1.0,1.0,1.0,$571.00,1,1125,65
412,4,1.0,1.0,1.0,$749.00,3,30,44
413,5,3.0,1.0,4.0,$998.00,28,365,14
414,4,1.0,1.0,3.0,$703.00,4,7,3
415,5,3.0,1.0,3.0,$998.00,2,30,2
417,2,1.0,1.0,1.0,$598.00,3,15,32
418,4,2.0,1.0,1.0,$998.00,3,30,24
419,4,1.0,1.0,2.0,"$1,497.00",3,60,17
420,6,3.0,1.0,6.0,"$1,044.00",3,1125,37
421,2,1.0,0.5,1.0,$650.00,4,1125,6
422,5,3.0,1.0,3.0,$801.00,4,1125,15
423,2,1.0,1.0,1.0,$900.00,2,4,26
424,4,3.0,1.0,3.0,$499.00,5,21,3
425,2,1.0,1.0,1.0,$932.00,3,60,25
426,2,1.0,1.0,1.0,$598.00,4,1125,21
427,10,3.0,1.0,10.0,"$1,044.00",4,16,17
428,5,3.0,1.5,5.0,"$1,497.00",4,14,9
429,12,2.0,2.0,8.0,"$2,239.00",5,30,44
430,6,3.0,2.0,6.0,"$2,200.00",2,21,26
431,2,2.0,1.0,2.0,"$1,497.00",2,30,7
432,4,2.0,1.0,2.0,$900.00,5,60,20
433,2,1.0,1.0,2.0,$781.00,1,30,0
434,5,3.0,2.0,5.0,$696.00,7,60,3
435,2,2.0,1.0,1.0,$703.00,3,1125,13
436,4,2.0,1.0,1.0,$552.00,2,15,11
437,4,2.0,1.5,1.0,$801.00,6,31,16
438,6,2.0,1.0,4.0,$801.00,4,1125,11
439,4,2.0,2.0,2.0,"$1,248.00",2,30,1
440,2,1.0,1.0,1.0,"$1,300.00",1,1125,11
441,2,1.0,1.0,2.0,$650.00,4,1125,71
442,5,2.0,1.0,3.0,$558.00,60,90,6
443,3,2.0,1.0,2.0,$801.00,5,30,11
444,2,1.0,1.0,1.0,$749.00,1,1125,63
445,4,1.0,1.0,2.0,$703.00,2,21,10
446,3,1.0,1.0,1.0,$650.00,3,1125,59
447,5,3.0,1.5,4.0,$998.00,4,14,1
448,2,1.0,1.0,1.0,$650.00,1,14,34
449,4,2.0,1.0,2.0,$992.00,2,1125,205
450,2,1.0,1.0,1.0,$552.00,2,14,10
451,2,1.0,1.0,1.0,$722.00,4,1125,10
452,2,1.0,1.0,1.0,$749.00,4,1125,16
453,4,3.0,1.0,4.0,$998.00,3,7,43
454,4,2.0,1.0,2.0,"$1,103.00",2,90,58
455,3,1.0,1.0,1.0,$696.00,3,365,20
456,4,2.0,1.0,4.0,"$1,202.00",7,14,12
457,2,1.0,1.0,1.0,$584.00,3,40,80
458,2,2.0,0.5,1.0,$427.00,8,60,11
459,3,1.0,1.0,1.0,$598.00,5,45,27
460,2,2.0,1.0,2.0,$749.00,2,30,39
461,5,2.0,1.0,2.0,$801.00,4,90,7
462,2,1.0,1.0,1.0,$998.00,5,30,19
463,6,4.0,2.0,4.0,"$1,372.00",4,1125,11
464,2,1.0,1.0,1.0,$387.00,2,1125,9
465,4,1.0,1.0,3.0,$972.00,3,180,59
466,2,1.0,1.0,1.0,$847.00,2,9,52
467,4,2.0,1.0,3.0,$552.00,2,1125,56
468,3,1.0,1.0,2.0,$755.00,3,1125,16
469,2,1.0,1.0,1.0,$762.00,2,21,126
470,3,1.0,1.0,1.0,$670.00,1,1125,31
471,2,1.0,1.0,2.0,$683.00,7,10,24
472,2,1.0,1.0,1.0,$611.00,4,365,8
473,3,2.0,1.0,2.0,$880.00,5,21,39
474,2,1.0,1.0,1.0,$250.00,1,61,1
475,2,2.0,1.0,1.0,$998.00,360,730,0
476,3,2.0,1.0,2.0,$650.00,3,21,4
477,2,1.0,1.0,1.0,"$1,353.00",3,180,46
478,5,2.0,1.0,3.0,$978.00,2,100,29
479,6,2.0,1.0,4.0,"$1,149.00",2,1125,80
480,4,1.0,1.0,3.0,$703.00,2,1125,82
481,3,1.0,1.0,2.0,$453.00,2,1125,58
482,2,1.0,1.0,1.0,$801.00,2,1125,46
483,3,1.0,1.0,1.0,$348.00,14,180,7
484,2,1.0,1.0,1.0,$598.00,3,31,75
485,2,1.0,1.0,2.0,$637.00,2,1125,27
486,4,2.0,2.0,3.0,$873.00,4,60,1
487,4,2.0,1.0,1.0,$801.00,7,30,1
488,8,4.0,1.0,8.0,"$1,399.00",5,30,2
489,4,2.0,1.0,2.0,"$1,313.00",3,14,107
491,6,4.0,1.0,6.0,$952.00,3,7,0
492,5,2.0,1.0,2.0,"$1,497.00",2,30,39
493,4,2.0,1.0,3.0,$762.00,4,7,20
494,3,1.0,1.0,1.0,"$1,202.00",4,1125,7
495,2,1.0,1.0,1.0,"$1,143.00",3,18,80
496,4,2.0,1.0,2.0,"$1,950.00",2,1125,89
497,6,4.0,2.0,6.0,"$2,233.00",6,40,4
498,4,2.0,1.0,3.0,$598.00,2,1125,21
499,3,1.0,1.0,2.0,$821.00,2,30,45
500,4,2.0,1.0,2.0,"$1,123.00",2,8,33
501,3,1.0,1.0,2.0,$328.00,14,1125,6
502,2,1.0,1.0,1.0,$676.00,1,7,15
